physician_id,first_name,last_name,specialty,phone_number,email,department,years_of_experience,license_number,clinic_address,city,state,zip_code,hospital_id,shift_timing
2723,Alec,Wilson,General Medicine,0143400605,cbaldwin@cameron.com,Emergency,37,Fz6009373,0471 Werner Point,Matthewsview,Ohio,62298,3466,Morning
2854,Sean,Scott,Neurology,9225799640,margaretpatrick@hall-petty.net,Emergency,27,yO9539343,133 Williams Station,Sharonburgh,Alabama,93281,9288,Night
2877,Brent,Mueller,Neurology,3180125913,bernardcooper@rosario.net,Pediatrics,25,Qi5543740,296 Johnson Inlet Suite 511,Woodton,Colorado,27582,3001,Morning
4207,Ronald,Anderson,Cardiology,2176069328,wilkersonaaron@yahoo.com,Emergency,35,nP3256381,1651 Hannah Overpass,Port Luisville,Montana,72707,4337,Morning
7757,Anna,Robinson,Orthopedics,5208833281,yclark@hotmail.com,Emergency,27,qq1062153,26692 Blackburn Radial Suite 421,North Amyville,Alaska,70960,3001,Morning
9384,Jay,Brown,Cardiology,8044665673,wilsonjessica@holmes-king.com,Pediatrics,24,jT2386031,40036 Green Points,North Marie,Nebraska,97821,7921,Morning
7927,Jaclyn,Martin,General Medicine,3153831952,wayneanderson@crawford-taylor.com,Oncology,6,OR2391794,6846 Nathaniel Loop Suite 567,Weissbury,South Carolina,86787,6051,Morning
3475,Christine,Thomas,General Medicine,5626415678,greenrenee@gmail.com,Pediatrics,31,QX9109468,967 Wu Grove Suite 701,North Marissa,Utah,03295,9273,Morning
3777,Carrie,Rice,Cardiology,7572133882,susan18@soto.com,Pediatrics,3,iU3339681,594 Harris Isle,Josephport,New York,55314,8181,Evening
7039,Amanda,Jackson,Neurology,5363890253,dayamanda@hotmail.com,Pediatrics,7,yV6332179,6698 Foster Radial,Nicholasland,Wisconsin,49317,3152,Morning
4920,Brittany,Castro,Cardiology,3494902556,larryhurley@hotmail.com,Emergency,22,DR5031256,3333 Emily Centers Apt. 601,Piercemouth,Washington,98221,3925,Morning
4004,Allison,Snyder,Orthopedics,1030223190,leslie43@turner-allen.info,Oncology,39,cG0470428,448 Kathy Plaza,East Alyssaton,North Carolina,47923,3001,Evening
3213,James,Butler,General Medicine,8589613403,clayamanda@jones.com,Surgery,17,XY2992617,45263 Denise Cliff Apt. 971,West Laurenport,New Jersey,90364,3466,Evening
6248,Rebecca,Harding,Cardiology,2633306373,grahamrichard@yahoo.com,Pediatrics,8,he2126806,86433 York Cape,Tamaramouth,Tennessee,44127,3925,Morning
4577,Roger,Smith,Cardiology,4719893513,mooreamber@harper-jimenez.com,Surgery,40,uj2583125,5647 Kenneth Square,Jamesfort,Missouri,87288,3652,Night
2644,Carol,Jones,Orthopedics,9080480718,williamsjose@lin.info,Emergency,36,Pr1857987,109 Kevin Islands Suite 371,Reedville,Louisiana,85932,6530,Evening
6256,Monica,Clark,Neurology,0380450947,christina81@gmail.com,Pediatrics,1,UR6055906,214 Velasquez Unions,Williamsville,Pennsylvania,52072,9710,Morning
6678,Julie,Miller,Orthopedics,9573951123,pricemiranda@hotmail.com,Pediatrics,8,JJ7172851,12530 Contreras Ridges Apt. 415,Walkerhaven,Idaho,35036,6534,Night
5731,Jessica,Johnson,General Medicine,0428780649,pauladaniels@gmail.com,Oncology,18,YS2922074,357 Ashley Underpass,West Mariah,Maine,86574,4360,Evening
5929,Brandon,Romero,Cardiology,8394468940,lmorgan@yahoo.com,Oncology,34,BU8426073,5421 Todd Inlet Apt. 006,Lake Nancytown,Missouri,69037,3466,Morning
8402,Stephanie,Miller,General Medicine,9983476639,ipaul@gutierrez.biz,Emergency,24,Ve1459398,6248 Neil Village,Alvarezport,Alabama,85467,4979,Night
5610,Paul,Lee,General Medicine,9038205459,lloydmary@perez-turner.com,Pediatrics,4,Lh1878552,53560 Thornton Roads,West Michaelfort,Texas,45092,3902,Night
5287,Barbara,Murray,General Medicine,8756781471,lucasduncan@yahoo.com,Emergency,5,LX3090263,222 Daniel Ways,Shaunside,Arizona,14185,4625,Evening
3337,Jennifer,Tucker,Neurology,1777247814,ksmith@yahoo.com,Oncology,26,fU6769838,4564 Olson Skyway,Martintown,New York,11494,7092,Evening
2199,Kenneth,Mathews,General Medicine,5652218240,raymond47@hotmail.com,Surgery,5,fd1730970,61893 Dominguez Locks,Turnertown,New Mexico,34781,7921,Evening
3634,Jillian,Nunez,General Medicine,6223571540,zbowen@yahoo.com,Emergency,1,yD1671422,117 Wallace Ramp Apt. 998,Gentrytown,Maryland,74812,3152,Morning
4394,Julie,Lindsey,Cardiology,6171094609,davidserrano@yahoo.com,Emergency,29,eA9054685,9252 Eric Squares Suite 596,Garzaville,Missouri,58552,3954,Night
6587,Sarah,Sutton,General Medicine,9727298073,watersjennifer@yahoo.com,Emergency,4,Pn1721109,3588 Ponce Views Suite 552,Cohentown,Louisiana,16326,8639,Morning
7717,Alexis,Campbell,Neurology,7683766471,michael11@murray.com,Pediatrics,21,hh2008548,707 Kelley Lake,Shannonfurt,Ohio,50361,3954,Evening
7343,Shane,peter,Cardiology,0201844453,jared38@murray.net,Pediatrics,14,VM3220960,387 Jennifer Roads Apt. 426,Johnsonton,Utah,43761,7626,Morning
7344,deepu,rocks,Cardiology,0201844455,deepu@murray.net,Pediatrics,14,VM3220960,387 Jennifer Apt. 426,Johnsonton,Utah,43761,6643,Morning
7345,manasa,metuku,Cardiology,0201844455,maanasa@murray.net,Pediatrics,14,VM3220960,387 Jennifer Roads Apt. 426,Johnsonton,Utah,43761,6644,Morning
7346,sravya,setti,Cardiology,0201844466,sravya@murray.net,Pediatrics,14,VM3220960,387 Jennifer Roads Apt. 426,Johnsonton,Utah,43761,6645,Morning
7346,sahiti,setti,Cardiology,0201844466,sahiti@murray.net,Pediatrics,14,VM3220960,387 Jennifer Roads Apt. 426,Johnsonton,Utah,43761,6646,Morning
